,Mean,Std,Max,Min,"Range (i.e., max-min)",Percentage above mean,Sum of net loads during business hours,Sum of net loads during non-business hours,Skewness,Kurtosis,Mode of 5-bin histogram,Longest period above mean,Longest period of successive increase,Peak_all: number,Peak_all: time,Peak_all: shortest interval between two peaks,Peak_all: duration,Peak_longest: occurrence time,Peak_longest: duration,Peak_longest: upward slope,Peak_longest: downward slope,Season,Intra-week Group,Installed PV Capacity (kW)
105,20.53893277373942,15.429113910651175,42.322,-35.26578034724868,77.58778034724868,0.5208333333333334,214.72777313949206,771.1410000000001,-1.6534702241116852,4.2865386051989764,19.045665895825394,8.0,4.0,1,[18.5],,[3.5],18.5,3.5,1.0,-1.0,2,3,266.79999999999995
106,22.65737948938977,11.486197807613769,43.927,0.9579149851322875,42.969085014867716,0.4166666666666667,322.97721549070894,764.577,0.14666692159427536,-0.9441240606524612,13.8486404895926,9.0,2.5,1,[19.],,[5.5],19.0,5.5,1.0,-1.0,2,3,266.79999999999995
107,-10.714751643514115,50.238866619469654,34.747999999999976,-112.89764050761904,147.64564050761902,0.6666666666666666,-1175.442807777566,661.1347288888888,-1.0387261317822836,-0.586887467817216,19.98343594923807,9.0,4.0,0.0,,,,,,,,2,3,266.79999999999995
108,22.053621705936948,12.122722469221888,46.43300000000003,-4.080986038359789,50.51398603835982,0.3541666666666667,252.00812077386246,806.5657211111112,0.4595490374953818,-0.4339676527272238,21.17600698082012,7.0,3.0,1,[19.5],,[5.5],19.5,5.5,6.0,-1.0,2,3,266.79999999999995
109,18.87340046802094,10.100253610627407,36.585,-0.5789957176190548,37.16399571761906,0.3541666666666667,203.07843652491536,702.8447859400898,0.28119293897222364,-0.7710143736527391,18.003002141190475,7.5,2.0,1,[20.],,[5.5],20.0,5.5,1.0,-1.0,3,3,266.79999999999995
110,-1.6412240743939621,37.57451824336196,42.583,-88.26503821095241,130.8480382109524,0.6666666666666666,-712.7574567874815,633.9787012165714,-0.9765777796789865,-0.10342017041548335,29.498196178904756,8.0,3.0,2,[19.75 21.  ],0.625,[1.  0.5],19.75,1.0,1.0,-1.0,3,3,266.79999999999995
111,14.48934598459612,12.832475184799177,33.37500000000002,-26.04233379957673,59.41733379957675,0.4375,76.94674848889943,618.5418587717143,-1.0434902932169896,2.0240911475093775,15.549799860126996,8.0,2.0,2,[19.25 22.  ],1.375,[3.  1.5],19.25,3.0,1.0,-1.0,3,3,266.79999999999995
112,11.293366648271606,25.203685161174903,45.191,-50.51268180391536,95.70368180391537,0.7291666666666666,-218.61626050597886,760.6978596230159,-1.0592049789796243,0.2919715340590616,16.479895458825393,10.0,2.5,1,[19.25],,[3.],19.25,3.0,1.0,-1.0,3,3,266.79999999999995
113,-5.491123370850311,40.141845642398295,32.33600000000001,-106.89456512238095,139.23056512238097,0.6666666666666666,-744.5203058059418,480.94638400512696,-1.2320548753886167,0.27798901863891246,18.412943487761915,8.0,4.0,0.0,,,,,,,,3,3,266.79999999999995
114,-13.116738398999999,44.172228940471186,33.584999999999994,-125.15075263227516,158.73575263227514,0.5833333333333334,-989.0060945659418,359.4026514139418,-1.0798162162163751,0.031937914138832735,17.71142473677247,7.0,4.0,0.0,,,,,,,,3,3,266.79999999999995
115,-0.43820642081415245,27.651610256917607,27.473000000000003,-89.92511102179893,117.39811102179893,0.6666666666666666,-427.71829452370366,406.6843863246243,-1.8541277659106015,2.8296906804494464,15.733188897820108,8.0,2.0,0.0,,,,,,,,3,3,266.79999999999995
116,-7.085450214091046,41.871181184492904,28.741,-182.4514313690476,211.1924313690476,0.6875,-733.859146423365,393.75753614699477,-3.0053852202751226,9.729650954954936,7.621756863095236,9.0,3.0,0.0,,,,,,,,3,3,266.79999999999995
117,-6.870249395462966,32.26819351173472,28.905,-95.95335045968253,124.85835045968253,0.6041666666666666,-677.1582848462963,347.38631386407405,-1.5126455223921453,1.7360426754497649,16.41916495403175,8.0,4.5,2,[19.25 21.  ],0.875,[1.  0.5],19.25,1.0,1.0,-1.0,3,3,266.79999999999995
118,-0.1880709625260161,20.589920481578776,22.839,-64.1452894047619,86.9842894047619,0.6666666666666666,-167.17745896246564,158.15005276121687,-1.5553333838402457,1.9421193964189207,14.140571059523808,8.0,2.5,1,[20.5],,[1.5],20.5,1.5,1.0,-1.0,3,3,266.79999999999995
119,1.968001780029984,20.250575561029077,27.599822222222222,-50.686872174285696,78.28669439650793,0.625,-323.302505181074,417.7665906225133,-1.192538859165474,0.7513292169654702,4.113813903269854,7.0,2.0,1,[19.75],,[2.],19.75,2.0,1.0,-1.0,3,3,266.79999999999995
120,3.3994391273692686,14.294339437161842,25.464999999999996,-38.04931742227513,63.51431742227513,0.4583333333333333,-177.00858788395766,340.18166599768267,-0.9648411622819422,1.213427445233556,6.4107047733174625,6.0,5.0,1,[20.25],,[4.],20.25,4.0,1.0,-1.0,3,3,266.79999999999995
121,-8.50022322526213,24.312127731311747,21.938,-69.5186530026455,91.4566530026455,0.5416666666666666,-413.78394416807413,5.773229355492038,-0.7831210286041446,-0.4119254972926334,12.792334699735454,6.0,2.0,1,[21.25],,[3.],21.25,3.0,2.0,-1.0,3,3,266.79999999999995
122,-48.29427569032848,66.14238998455282,23.179,-193.40803963333332,216.58703963333332,0.5416666666666666,-2091.903330472116,-226.22190266365095,-0.7064775131977129,-0.7325794302328732,1.5202960366666627,7.0,1.5,2,[21. 22.],0.5,[0.5 0.5],21.0,0.5,1.0,-1.0,1,3,266.79999999999995
123,-27.481826046626978,57.55983146542049,25.450999999999997,-160.6800278984656,186.1310278984656,0.6666666666666666,-1336.311762392254,17.184112154158694,-1.0887049138070102,-0.15675285346158763,6.8378972101534305,9.0,5.5,0.0,,,,,,,,1,3,266.79999999999995
124,-10.552391307352947,31.95171618371183,22.799,-121.17697583005288,143.97597583005287,0.5833333333333334,-667.0032297141269,160.48844696118516,-1.7940252557401173,3.4907219067789033,8.40140241699471,7.0,3.0,0.0,,,,,,,,1,3,266.79999999999995
125,-5.266304157494488,26.89850158236672,24.161000000000005,-94.54359017523811,118.70459017523811,0.6666666666666666,-472.5829965655291,219.80039700579366,-1.6943783415735831,2.7977145774253236,12.29054098247619,8.0,3.0,1,[21.5],,[0.5],21.5,0.5,1.0,-1.0,1,3,266.79999999999995
